,Year,Match_ID,Phase,Phase_num,Group,Round,Round_selector,Home,Away,Result,Points_Home,Points_Away,Advances,n_Goals_Home,n_Goals_Away,Goals_Home,Goals_Away,n_Pens_Home,n_Pens_Away,Pens_Home,Pens_Away,Time,Date,Venue,City,Attendance,Referee,Possession_Home,Possession_Away,PassAcc_Home,PassAcc_Away,n_Passes_Attempt_Home,n_Passes_Attempt_Away,n_Passes_Compl_Home,n_Passes_Compl_Away,Distance_Home,Distance_Away,OnTarget_Home,OnTarget_Away,OffTarget_Home,OffTarget_Away,ShotsBlocked_Home,ShotsBlocked_Away,Corners_Home,Corners_Away,Offsides_Home,Offsides_Away,Blocks_Home,Blocks_Away,BallsRec_Home,BallsRec_Away,Tackles_Home,Tackles_Away,Fouls_Home,Fouls_Away,Yellow_Home,Yellow_Away,Red_Home,Red_Away,Result_bare,youtube_url,deadline,completed,match_time,kick_off_cest,,,,,,
40,2020,2020_Round_of_16_D,Round of 16,2,D,4,Round of 16,Belgium,NA,Match 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,27/06/2021,La Cartuja,Seville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,26/06/2021,,"June 27, 2021 19:00:00",27/06/2021 21:00,,,,,2020_Round of 16_D,27/06/2021 21:00
41,2020,2020_Round_of_16_E,Round of 16,2,E,4,Round of 16,Croatia,NA,Match 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,28/06/2021,Parken Stadium,Copenhagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,26/06/2021,,"June 28, 2021 16:00:00",28/06/2021 18:00,,,,,2020_Round of 16_E,28/06/2021 18:00
42,2020,2020_Round_of_16_F,Round of 16,2,F,4,Round of 16,NA,NA,Match 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (22:00 UTC+3),28/06/2021,Arena Na<U+021B>ionala,Bucharest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,26/06/2021,,"June 28, 2021 19:00:00",28/06/2021 21:00,,,,,2020_Round of 16_F,28/06/2021 21:00
43,2020,2020_Round_of_16_G,Round of 16,2,G,4,Round of 16,England,NA,Match 44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (17:00 UTC+1),29/06/2021,Wembley Stadium,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,26/06/2021,,"June 29, 2021 16:00:00",29/06/2021 18:00,,,,,2020_Round of 16_G,29/06/2021 18:00
44,2020,2020_Round_of_16_H,Round of 16,2,H,4,Round of 16,NA,NA,Match 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (20:00 UTC+1),29/06/2021,Hampden Park,Glasgow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,26/06/2021,,"June 29, 2021 19:00:00",29/06/2021 21:00,,,,,2020_Round of 16_H,29/06/2021 21:00
51,2020,2020_Final_A,Final,5,A,7,Final,NA,NA,Match 51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (20:00 UTC+1),11/07/2021,Wembley Stadium,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,11/07/2021,,"July 11, 2021 19:00:00",11/07/2021 21:00,,,,,2020_Quarterfinal_A,02/07/2021 18:00
45,2020,2020_Quarterfinal_A,Quarterfinal,3,A,5,Quarterfinal,NA,NA,Match 45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (19:00 UTC+3),02/07/2021,Krestovsky Stadium,Saint Petersburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,02/07/2021,,"July 2, 2021 16:00:00",02/07/2021 18:00,,,,,2020_Quarterfinal_B,02/07/2021 21:00
46,2020,2020_Quarterfinal_B,Quarterfinal,3,B,5,Quarterfinal,NA,NA,Match 46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,02/07/2021,Allianz Arena,Munich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,02/07/2021,,"July 2, 2021 19:00:00",02/07/2021 21:00,,,,,2020_Quarterfinal_C,03/07/2021 18:00
47,2020,2020_Quarterfinal_C,Quarterfinal,3,C,5,Quarterfinal,NA,NA,Match 47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (20:00 UTC+4),03/07/2021,Olympic Stadium,Baku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,02/07/2021,,"July 3, 2021 16:00:00",03/07/2021 18:00,,,,,2020_Quarterfinal_D,03/07/2021 21:00
48,2020,2020_Quarterfinal_D,Quarterfinal,3,D,5,Quarterfinal,NA,NA,Match 48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,03/07/2021,Stadio Olimpico,Rome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,02/07/2021,,"July 3, 2021 19:00:00",03/07/2021 21:00,,,,,2020_Semifinal_A,06/07/2021 21:00
49,2020,2020_Semifinal_A,Semifinal,4,A,6,Semifinal,NA,NA,Match 49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (20:00 UTC+1),06/07/2021,Wembley Stadium,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,06/07/2021,,"July 6, 2021 19:00:00",06/07/2021 21:00,,,,,2020_Semifinal_B,07/07/2021 21:00
50,2020,2020_Semifinal_B,Semifinal,4,B,6,Semifinal,NA,NA,Match 50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (20:00 UTC+1),07/07/2021,Wembley Stadium,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,NA,06/07/2021,,"July 7, 2021 19:00:00",07/07/2021 21:00,,,,,2020_Final_A,11/07/2021 21:00
52,2016,2016_Group_A_1_France_Romania,Group,1,A,1,Group match 1,France,Romania,2–1,3,0,NA,2,1,"Giroud  57'
Payet  89'",Stancu  65' (pen.),NA,NA,NA,NA,21:00,10/06/2016,Stade de France,Saint-Denis,"Attendance: 75,113[1]",Referee: Viktor Kassai (Hungary),59,41,84,71,502,280,422,199,105,106,5,2,6,5,3,3,5,4,5,1,3,3,54,42,5,6,6,14,1,3,0,0,2–1,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
53,2016,2016_Group_A_1_Albania_Switzerland,Group,1,A,1,Group match 1,Albania,Switzerland,0–1,0,3,NA,0,1,NA,Schär  5',NA,NA,NA,NA,15:00,11/06/2016,Stade Bollaert-Delelis,Lens,"Attendance: 33,805[5]",Referee: Carlos Velasco Carballo (Spain),45,55,88,92,414,553,365,510,103,109,2,7,2,5,3,5,5,4,2,6,5,3,42,44,10,4,10,17,5,2,1,0,0–1,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
54,2016,2016_Group_A_2_Romania_Switzerland,Group,1,A,2,Group match 2,Romania,Switzerland,1–1,1,1,NA,1,1,Stancu  18' (pen.),Mehmedi  57',NA,NA,NA,NA,18:00,15/06/2016,Parc des Princes,Paris,"Attendance: 43,576[8]",Referee: Sergei Karasev (Russia),38,62,76,88,237,522,179,459,103,107,4,6,6,7,4,6,4,7,1,5,6,4,39,40,10,9,24,11,4,2,0,0,1–1,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
55,2016,2016_Group_A_2_France_Albania,Group,1,A,2,Group match 2,France,Albania,2–0,3,0,NA,2,0,"Griezmann  90'
Payet  90+6'",NA,NA,NA,NA,NA,21:00,15/06/2016,Stade Vélodrome,Marseille,"Attendance: 63,670[11]",Referee: Willie Collum (Scotland),59,41,88,76,529,357,466,270,107,108,2,0,10,4,9,5,6,4,1,1,5,9,42,40,3,6,16,13,1,2,0,0,2–0,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
56,2016,2016_Group_A_3_Romania_Albania,Group,1,A,3,Group match 3,Romania,Albania,0–1,0,3,NA,0,1,NA,Sadiku  43',NA,NA,NA,NA,21:00,19/06/2016,Parc Olympique Lyonnais,Décines-Charpieu,"Attendance: 49,752[14]",Referee: Pavel Královec (Czech Republic),59,41,85,78,522,281,446,220,101,104,3,6,8,6,5,2,2,6,1,5,2,5,43,57,9,15,14,12,3,3,0,0,0–1,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
57,2016,2016_Group_A_3_Switzerland_France,Group,1,A,3,Group match 3,Switzerland,France,0–0,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,21:00,19/06/2016,Stade Pierre-Mauroy,Villeneuve-d'Ascq,"Attendance: 45,616[17]",Referee: Damir Skomina (Slovenia),58,42,92,87,492,334,451,290,108,106,0,4,3,3,3,6,5,10,4,0,6,3,37,34,6,9,9,10,0,2,0,0,0–0,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
58,2016,2016_Group_B_1_Wales_Slovakia,Group,1,B,1,Group match 1,Wales,Slovakia,2–1,3,0,NA,2,1,"Bale  10'
Robson-Kanu  81'",Duda  61',NA,NA,NA,NA,18:00,11/06/2016,Nouveau Stade de Bordeaux,Bordeaux,"Attendance: 37,831[1]",Referee: Svein Oddvar Moen (Norway),44,56,79,85,352,510,277,432,109,110,8,2,3,7,0,4,2,3,0,3,4,0,60,46,9,7,17,16,0,5,0,0,2–1,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
59,2016,2016_Group_B_1_England_Russia,Group,1,B,1,Group match 1,England,Russia,1–1,1,1,NA,1,1,Dier  73',V. Berezutski  90+2',NA,NA,NA,NA,21:00,11/06/2016,Stade Vélodrome,Marseille,"Attendance: 62,343[5]",Referee: Nicola Rizzoli (Italy),52,48,87,80,426,406,371,323,111,110,6,2,8,3,2,1,6,4,6,2,1,2,42,40,6,7,9,16,1,1,0,0,1–1,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
60,2016,2016_Group_B_2_Russia_Slovakia,Group,1,B,2,Group match 2,Russia,Slovakia,1–2,0,3,NA,1,2,Glushakov  80',"Weiss  32'
Hamšík  45'",NA,NA,NA,NA,15:00,15/06/2016,Stade Pierre-Mauroy,Villeneuve-d'Ascq,"Attendance: 38,989[8]",Referee: Damir Skomina (Slovenia),62,38,89,80,548,294,490,234,112,111,2,3,7,4,6,2,6,5,0,5,2,6,33,41,7,3,8,12,0,1,0,0,1–2,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
61,2016,2016_Group_B_2_England_Wales,Group,1,B,2,Group match 2,England,Wales,2–1,3,0,NA,2,1,"Vardy  56'
Sturridge  90+2'",Bale  42',NA,NA,NA,NA,15:00,16/06/2016,Stade Bollaert-Delelis,Lens,"Attendance: 34,033[11]",Referee: Felix Brych (Germany),64,36,88,72,493,201,435,145,106,106,4,2,9,3,8,2,9,3,1,1,2,8,33,44,2,11,10,9,0,1,0,0,2–1,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
62,2016,2016_Group_B_3_Russia_Wales,Group,1,B,3,Group match 3,Russia,Wales,0–3,0,3,NA,0,3,NA,"Ramsey  11'
Taylor  20'
Bale  67'",NA,NA,NA,NA,21:00,20/06/2016,Stadium Municipal,Toulouse,"Attendance: 28,840[14]",Referee: Jonas Eriksson (Sweden),48,52,85,88,434,455,368,401,108,107,2,11,7,5,4,3,4,5,1,3,3,4,50,63,8,4,9,7,1,1,0,0,0–3,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
63,2016,2016_Group_B_3_Slovakia_England,Group,1,B,3,Group match 3,Slovakia,England,0–0,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,21:00,20/06/2016,Stade Geoffroy-Guichard,Saint-Étienne,"Attendance: 39,051[17]",Referee: Carlos Velasco Carballo (Spain),43,57,82,92,365,557,301,510,106,110,2,5,2,9,0,14,0,11,1,1,14,0,42,43,15,2,7,12,1,1,0,0,0–0,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
64,2016,2016_Group_C_1_Poland_Northern Ireland,Group,1,C,1,Group match 1,Poland,Northern Ireland,1–0,3,0,NA,1,0,Milik  51',NA,NA,NA,NA,NA,18:00,12/06/2016,Stade de Nice,Nice,"Attendance: 33,742[1]",Referee: Ovidiu Ha<U+021B>egan (Romania),60,40,88,74,487,254,427,189,105,103,4,0,7,1,7,1,8,1,1,2,1,7,38,37,5,10,11,12,2,1,0,0,1–0,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
65,2016,2016_Group_C_1_Germany_Ukraine,Group,1,C,1,Group match 1,Germany,Ukraine,2–0,3,0,NA,2,0,"Mustafi  19'
Schweinsteiger  90+2'",NA,NA,NA,NA,NA,21:00,12/06/2016,Stade Pierre-Mauroy,Villeneuve-d'Ascq,"Attendance: 43,035[5]",Referee: Martin Atkinson (England),63,37,92,79,678,288,621,227,114,115,9,3,5,2,4,2,6,12,2,2,2,4,40,33,7,8,10,9,0,1,0,0,2–0,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
66,2016,2016_Group_C_2_Ukraine_Northern Ireland,Group,1,C,2,Group match 2,Ukraine,Northern Ireland,0–2,0,3,NA,0,2,NA,"McAuley  49'
McGinn  90+6'",NA,NA,NA,NA,18:00,16/06/2016,Parc Olympique Lyonnais,Décines-Charpieu,"Attendance: 51,043[8]",Referee: Pavel Královec (Czech Republic),66,34,87,64,511,205,443,131,110,114,5,7,8,4,4,2,2,3,3,1,2,4,33,41,7,4,14,14,2,3,0,0,0–2,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
67,2016,2016_Group_C_2_Germany_Poland,Group,1,C,2,Group match 2,Germany,Poland,0–0,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,21:00,16/06/2016,Stade de France,Saint-Denis,"Attendance: 73,648[11]",Referee: Björn Kuipers (Netherlands),63,37,89,78,585,237,523,184,110,112,3,0,9,3,3,4,8,2,2,3,4,3,56,49,5,7,14,9,3,3,0,0,0–0,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
68,2016,2016_Group_C_3_Ukraine_Poland,Group,1,C,3,Group match 3,Ukraine,Poland,0–1,0,3,NA,0,1,NA,Blaszczykowski  54',NA,NA,NA,NA,18:00,21/06/2016,Stade Vélodrome,Marseille,"Attendance: 58,874[14]",Referee: Svein Oddvar Moen (Norway),64,36,87,73,547,267,477,194,112,111,5,3,9,4,5,2,3,2,2,2,2,5,47,36,12,5,23,12,2,1,0,0,0–1,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
69,2016,2016_Group_C_3_Northern Ireland_Germany,Group,1,C,3,Group match 3,Northern Ireland,Germany,0–1,0,3,NA,0,1,NA,Gómez  30',NA,NA,NA,NA,18:00,21/06/2016,Parc des Princes,Paris,"Attendance: 44,125[17]",Referee: Clément Turpin (France),29,71,64,92,176,704,112,650,113,111,1,9,0,12,1,5,3,6,2,3,5,1,41,39,7,2,10,8,0,0,0,0,0–1,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
70,2016,2016_Group_D_1_Turkey_Croatia,Group,1,D,1,Group match 1,Turkey,Croatia,0–1,0,3,NA,0,1,NA,Modric  41',NA,NA,NA,NA,15:00,12/06/2016,Parc des Princes,Paris,"Attendance: 43,842[1]",Referee: Jonas Eriksson (Sweden),51,49,81,79,370,344,298,272,102,105,2,6,4,11,3,1,3,5,1,1,1,3,41,42,8,10,13,15,3,1,0,0,0–1,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
71,2016,2016_Group_D_1_Spain_Czech Republic,Group,1,D,1,Group match 1,Spain,Czech Republic,1–0,3,0,NA,1,0,Piqué  87',NA,NA,NA,NA,NA,15:00,13/06/2016,Stadium Municipal,Toulouse,"Attendance: 29,400[5]",Referee: Szymon Marciniak (Poland),67,33,91,74,694,240,632,178,107,110,5,3,8,1,4,3,14,3,7,1,3,4,36,32,2,9,11,12,0,1,0,0,1–0,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
72,2016,2016_Group_D_2_Czech Republic_Croatia,Group,1,D,2,Group match 2,Czech Republic,Croatia,2–2,1,1,NA,2,2,"Škoda  76'
Necid  89' (pen.)","Perišic  37'
Rakitic  59'",NA,NA,NA,NA,18:00,17/06/2016,Stade Geoffroy-Guichard,Saint-Étienne,"Attendance: 38,376[8]",Referee: Mark Clattenburg (England),44,56,79,83,331,390,262,324,114,109,4,6,0,8,3,5,2,11,1,0,5,3,40,50,11,11,15,13,1,3,0,0,2–2,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
73,2016,2016_Group_D_2_Spain_Turkey,Group,1,D,2,Group match 2,Spain,Turkey,3–0,3,0,NA,3,0,"Morata  34', 48'
Nolito  37'",NA,NA,NA,NA,NA,21:00,17/06/2016,Stade de Nice,Nice,"Attendance: 33,409[11]",Referee: Milorad Mažic (Serbia),57,43,93,87,674,421,628,365,109,106,6,0,8,6,4,2,7,3,1,4,2,4,41,37,4,7,15,13,1,2,0,0,3–0,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
74,2016,2016_Group_D_3_Czech Republic_Turkey,Group,1,D,3,Group match 3,Czech Republic,Turkey,0–2,0,3,NA,0,2,NA,"Yilmaz  10'
Tufan  65'",NA,NA,NA,NA,21:00,21/06/2016,Stade Bollaert-Delelis,Lens,"Attendance: 32,836[14]",Referee: Willie Collum (Scotland),51,49,82,75,380,319,310,240,112,105,5,2,7,5,1,2,8,3,3,5,2,1,36,42,7,5,16,14,3,2,0,0,0–2,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
75,2016,2016_Group_D_3_Croatia_Spain,Group,1,D,3,Group match 3,Croatia,Spain,2–1,3,0,NA,2,1,"N. Kalinic  45'
Perišic  87'",Morata  7',NA,NA,NA,NA,21:00,21/06/2016,Nouveau Stade de Bordeaux,Bordeaux,"Attendance: 37,245[17]",Referee: Björn Kuipers (Netherlands),40,60,84,94,290,655,244,616,106,104,4,3,7,6,2,6,3,7,1,1,6,2,38,34,8,7,10,11,4,0,0,0,2–1,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
76,2016,2016_Group_E_1_Republic of Ireland_Sweden,Group,1,E,1,Group match 1,Republic of Ireland,Sweden,1–1,1,1,NA,1,1,Hoolahan  48',Clark  71' (o.g.),NA,NA,NA,NA,18:00,13/06/2016,Stade de France,Saint-Denis,"Attendance: 73,419[1]",Referee: Milorad Mažic (Serbia),47,53,70,78,279,385,195,301,102,101,4,0,5,4,0,3,5,5,3,4,3,0,29,29,4,4,11,15,2,1,0,0,1–1,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
77,2016,2016_Group_E_1_Belgium_Italy,Group,1,E,1,Group match 1,Belgium,Italy,0–2,0,3,NA,0,2,NA,"Giaccherini  32'
Pellè  90+3'",NA,NA,NA,NA,21:00,13/06/2016,Parc Olympique Lyonnais,Décines-Charpieu,"Attendance: 55,408[5]",Referee: Mark Clattenburg (England),56,44,85,78,529,422,452,330,108,120,2,5,7,3,9,3,8,6,1,0,3,9,43,42,6,8,10,12,1,4,0,0,0–2,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
78,2016,2016_Group_E_2_Italy_Sweden,Group,1,E,2,Group match 2,Italy,Sweden,1–0,3,0,NA,1,0,Éder  88',NA,NA,NA,NA,NA,15:00,17/06/2016,Stadium Municipal,Toulouse,"Attendance: 29,600[8]",Referee: Viktor Kassai (Hungary),47,53,84,85,445,448,376,379,114,108,3,0,2,3,3,1,7,4,0,4,1,3,34,42,4,3,16,14,2,1,0,0,1–0,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
79,2016,2016_Group_E_2_Belgium_Republic of Ireland,Group,1,E,2,Group match 2,Belgium,Republic of Ireland,3–0,3,0,NA,3,0,"R. Lukaku  48', 70'
Witsel  61'",NA,NA,NA,NA,NA,15:00,18/06/2016,Nouveau Stade de Bordeaux,Bordeaux,"Attendance: 39,493[11]",Referee: Cüneyt Çakir (Turkey),54,46,89,82,455,337,407,278,102,103,7,2,8,5,3,4,5,4,3,1,4,3,42,43,6,4,8,10,1,1,0,0,3–0,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
80,2016,2016_Group_E_3_Italy_Republic of Ireland,Group,1,E,3,Group match 3,Italy,Republic of Ireland,0–1,0,3,NA,0,1,NA,Brady  85',NA,NA,NA,NA,21:00,22/06/2016,Stade Pierre-Mauroy,Villeneuve-d'Ascq,"Attendance: 44,268[14]",Referee: Ovidiu Ha<U+021B>egan (Romania),54,46,84,81,372,277,313,225,104,103,1,4,4,6,0,2,4,4,1,0,2,0,21,38,2,5,21,19,4,2,0,0,0–1,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
81,2016,2016_Group_E_3_Sweden_Belgium,Group,1,E,3,Group match 3,Sweden,Belgium,0–1,0,3,NA,0,1,NA,Nainggolan  84',NA,NA,NA,NA,21:00,22/06/2016,Stade de Nice,Nice,"Attendance: 34,011[17]",Referee: Felix Brych (Germany),50,50,83,83,358,344,296,285,106,102,3,8,5,8,4,7,4,12,0,4,7,4,34,34,4,5,10,14,2,2,0,0,0–1,6iFbuIpe68k,20/06/2021,,,#N/A,,,,,,
82,2016,2016_Group_F_1_Austria_Hungary,Group,1,F,1,Group match 1,Austria,Hungary,0–2,0,3,NA,0,2,NA,"Szalai  62'
Stieber  87'",NA,NA,NA,NA,18:00,14/06/2016,Nouveau Stade de Bordeaux,Bordeaux,"Attendance: 34,424[1]",Referee: Clément Turpin (France),50,50,81,82,402,387,324,318,106,110,3,8,6,5,5,2,4,4,0,1,2,5,47,51,6,12,10,16,2,1,1,0,0–2,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
83,2016,2016_Group_F_1_Portugal_Iceland,Group,1,F,1,Group match 1,Portugal,Iceland,1–1,1,1,NA,1,1,Nani  31',B. Bjarnason  50',NA,NA,NA,NA,21:00,14/06/2016,Stade Geoffroy-Guichard,Saint-Étienne,"Attendance: 38,742[10]",Referee: Cüneyt Çakir (Turkey),66,34,92,73,605,185,556,135,111,112,10,4,7,0,10,0,11,2,3,2,0,10,47,38,2,11,9,17,0,2,0,0,1–1,6iFbuIpe68k,11/06/2021,,,#N/A,,,,,,
84,2016,2016_Group_F_2_Iceland_Hungary,Group,1,F,2,Group match 2,Iceland,Hungary,1–1,1,1,NA,1,1,G. Sigurðsson  40' (pen.),Sævarsson  88' (o.g.),NA,NA,NA,NA,18:00,18/06/2016,Stade Vélodrome,Marseille,"Attendance: 60,842[13]",Referee: Sergei Karasev (Russia),33,67,71,89,207,606,147,538,110,107,2,4,2,5,4,3,3,5,1,2,3,4,43,47,3,7,15,15,3,3,0,0,1–1,6iFbuIpe68k,16/06/2021,,,#N/A,,,,,,
